iter	TotalF1:average=Macro	MultiClass
493	0.4635478166	1.121775275
494	0.4635566903	1.121604327
495	0.4635813911	1.121440765
496	0.4635701952	1.121276797
497	0.4636744006	1.121110389
498	0.4636853019	1.120946014
499	0.4637262417	1.120787331
500	0.4637824664	1.120622007
501	0.463775356	1.12046251
502	0.4638569749	1.120303624
503	0.4638786337	1.120141349
504	0.4638311232	1.119980091
505	0.4638890806	1.119820323
506	0.4638902252	1.11966042
507	0.463895778	1.11950133
508	0.4638906305	1.119342172
509	0.4639408484	1.119183421
510	0.4639727541	1.119026905
511	0.4639864548	1.118873778
512	0.4639968022	1.11872458
513	0.4640136195	1.118574027
514	0.4640499723	1.11841846
515	0.464059108	1.118264994
516	0.4640813577	1.118113289
517	0.464139552	1.117961381
518	0.4641607378	1.117811506
519	0.464207303	1.117661088
520	0.4642322557	1.117515278
521	0.4643087136	1.117367029
522	0.4643342088	1.117222845
523	0.4643795514	1.117076358
524	0.4644001274	1.116928921
525	0.4644014225	1.116784467
526	0.4643936181	1.116640554
527	0.464406273	1.116497522
528	0.4644367404	1.116351644
529	0.4644915971	1.116208476
530	0.4644754101	1.116064631
531	0.4644912099	1.115925868
532	0.4644929902	1.115784259
533	0.464527611	1.115645631
534	0.4645632938	1.11551161
535	0.464568131	1.115376844
536	0.4646528677	1.115240994
537	0.4646417172	1.11510738
538	0.4646984201	1.114968143
539	0.4647297925	1.114832428
540	0.4647860747	1.114705725
541	0.4647806838	1.114569943
542	0.4648010166	1.114431315
543	0.464797442	1.114296211
544	0.4648936532	1.114163003
545	0.4649119856	1.114035284
546	0.4649496926	1.11390499
547	0.4649354763	1.113776525
548	0.4650379591	1.113649145
549	0.4650324226	1.11352129
550	0.4650418304	1.113388692
551	0.465116459	1.11326077
552	0.4651522606	1.113129595
553	0.4651630595	1.113005873
554	0.4651651391	1.112875647
555	0.465233167	1.112759379
556	0.4652798048	1.112635792
557	0.4652720598	1.112514103
558	0.4652769734	1.112391195
559	0.4652921906	1.112270319
560	0.4653801838	1.112142125
561	0.465363784	1.112020707
562	0.4654507359	1.111900712
563	0.4655030728	1.1117776
564	0.4655777536	1.111653811
565	0.4656336378	1.111534222
566	0.4655905087	1.111414566
567	0.4656175673	1.11130033
568	0.4656235846	1.111181351
569	0.4656496262	1.111063727
570	0.4656274374	1.110948272
571	0.4656568365	1.110827667
572	0.4656846097	1.110713499
573	0.4657010151	1.110599602
574	0.4657277104	1.110488279
575	0.4657380034	1.110373501
576	0.4657683798	1.110261772
577	0.4658081142	1.11015831
578	0.4658501706	1.110052543
579	0.4658536581	1.10994427
580	0.4658889637	1.10983166
581	0.4659246405	1.109728129
582	0.4659695229	1.109615926
583	0.4659500652	1.109510498
584	0.465963258	1.109400328
585	0.4659753248	1.109294019
586	0.4659885978	1.109189066
587	0.4659887672	1.109076456
588	0.4660107992	1.108973197
589	0.4660400401	1.108865736
590	0.4660853686	1.108760444
591	0.466127329	1.108658269
592	0.4661388428	1.108554738
593	0.4661770355	1.108448769
594	0.4661771726	1.108342257
595	0.4662396736	1.108239133
596	0.4662852071	1.10814353
597	0.466275041	1.108043793
598	0.4663292711	1.107939518
599	0.4663584181	1.107841814
600	0.4663990859	1.107735506
601	0.4664237196	1.107634075
602	0.4664578455	1.107526886
603	0.466477909	1.107425795
604	0.4664833282	1.107322942
605	0.466497954	1.107226322
606	0.4665206991	1.107126315
607	0.4665672278	1.107027527
608	0.4665715774	1.106932941
609	0.46660797	1.106834424
610	0.4666340789	1.106734417
611	0.4666537072	1.106637662
612	0.4666694569	1.106542804
613	0.4667202918	1.106444762
614	0.4667217592	1.106349362
615	0.4667317013	1.106257824
616	0.4667251652	1.106164863
617	0.466709683	1.106075697
618	0.4667543406	1.105975758
619	0.4667647162	1.105884288
620	0.4668023841	1.105791395
621	0.4668294478	1.105705345
622	0.4668457554	1.105614688
623	0.4668798395	1.105521592
624	0.4669315122	1.10543351
625	0.4669283141	1.105341498
626	0.4669134004	1.105254093
627	0.4669268079	1.105168721
628	0.4669459964	1.105078335
629	0.4669925649	1.104988627
630	0.4670376817	1.10490007
631	0.467007156	1.104813072
632	0.4670570317	1.104724719
633	0.4671027331	1.104633791
634	0.4671426684	1.104549706
635	0.4671261628	1.104465079
636	0.4671554144	1.104377878
637	0.4671965329	1.104289795
638	0.4671995704	1.104208489
639	0.4672190202	1.104117425
640	0.4672746778	1.104038355
641	0.4672614408	1.103951085
642	0.467269865	1.103868356
643	0.4672780581	1.103786168
644	0.4672977026	1.103701677
645	0.4673322322	1.103619015
646	0.4673264833	1.103532017
647	0.4673636007	1.103450575
648	0.4673618533	1.10337103
649	0.4673844638	1.10328769
650	0.4674547572	1.103204351
651	0.4674640037	1.103123519
652	0.4674671766	1.103043228
653	0.4675051219	1.102960838
654	0.4675271641	1.102877972
655	0.4675463474	1.102795717
656	0.467555691	1.102712649
657	0.4675751447	1.102637711
658	0.4676230822	1.102564603
659	0.4676879146	1.102487768
660	0.4677045913	1.102411611
661	0.4677213254	1.10233586
662	0.4677799587	1.102256857
663	0.4677806361	1.10218009
664	0.4678141847	1.102102374
665	0.4677900638	1.102028724
666	0.4677915207	1.101954532
667	0.4678219496	1.10188244
668	0.4678281601	1.101802353
669	0.4678425742	1.101726873
670	0.4678631186	1.101653019
671	0.4678713028	1.101581334
672	0.4678891984	1.101501518
673	0.467882337	1.10142929
674	0.4679606917	1.101359705
675	0.4679578344	1.101285378
676	0.4679432115	1.101213015
677	0.4680076829	1.101140787
678	0.4680456806	1.101069576
679	0.4680306921	1.101000533
680	0.4680789451	1.100929119
681	0.4681129061	1.100854859
682	0.4681001971	1.10077904
683	0.4681239292	1.100704983
684	0.4681599288	1.100634246
685	0.4681637827	1.100563239
686	0.4682370584	1.100491756
687	0.4682736962	1.100424814
688	0.4682677816	1.100355839
689	0.4682802291	1.100285034
690	0.4683473785	1.10021633
691	0.4683801683	1.100149455
692	0.4683609975	1.100084071
693	0.4683699716	1.100016654
694	0.468389556	1.099949238
695	0.4683801609	1.099884057
696	0.4683653706	1.099815217
697	0.4683663303	1.099750714
698	0.468418377	1.099681061
699	0.4683906732	1.099618184
700	0.4683978872	1.099551919
701	0.4684313418	1.099485518
702	0.4684485431	1.099422912
703	0.4684920094	1.099357189
704	0.468495579	1.099291602
705	0.4684952936	1.099223846
706	0.4685090011	1.09915853
707	0.4685307951	1.099087996
708	0.4685352341	1.099027084
709	0.4685588244	1.098963258
710	0.4685784254	1.098901736
711	0.4686368578	1.098835742
712	0.4686498024	1.098773272
713	0.4686930693	1.098707549
714	0.4686575289	1.098643452
